;superkingdom;phylum;class;order;family;genus;species
1088;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus megaterium
1088;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus megaterium
1091;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus psychrosaccharolyticus
1091;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus psychrosaccharolyticus
1073;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NAN
1073;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NAN
1073;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NAN
1073;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NAN
1073;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NAN
1073;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NAN
1106;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
1106;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
1106;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
1106;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
1106;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
1106;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
1106;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
1106;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
1106;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
1106;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
1106;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
