,biology,posterior_mean,q_0.01,q_0.5,q_0.99
99,Arabidopsis thaliana|1.23.1.1|(+)-pinoresinol,-5.44167915396875,-8.062822,-5.651735,-1.005133110000004
100,Arabidopsis thaliana|1.23.1.3|(-)-pinoresinol,-4.1744156933125,-6.7280781,-4.29704,-0.7504456000000009
101,Arabidopsis thaliana|1.3.1.3|2-cyclohexen-1-one,-5.16186115625,-6.7340941999999995,-5.161285,-3.5613256000000013
102,Arabidopsis thaliana|1.3.1.3|progesterone,-4.7508936628125,-8.0972942,-4.77707,-1.727471400000004
103,Arabidopsis thaliana|1.3.1.33|NADPH,-3.055812022796875,-5.755718399999999,-3.07087,-0.03872706780000686
104,Arabidopsis thaliana|1.3.1.33|protochlorophyllide,-6.629695990624999,-8.8682997,-6.762135000000001,-3.4794641000000106
105,"Arabidopsis thaliana|1.3.1.42|(9S,13S)-12-oxophytodienoic acid",-3.1779880900312505,-5.9497147,-3.21112,-0.09668123900000387
106,Arabidopsis thaliana|1.3.1.74|NADPH,-4.6556085440625,-6.2748407,-4.654335,-2.9622060000000054
107,Arabidopsis thaliana|1.3.1.77|cyanidin,-2.5727418133125,-4.9644692,-2.582165,-0.23515402000000343
108,Arabidopsis thaliana|1.3.1.77|delphinidin,-3.7131360363062504,-6.6581856,-3.80445,-0.08436799700000003
109,Arabidopsis thaliana|1.3.1.77|pelargonidin,-2.837886682094063,-5.6774181,-2.870745,0.5089545199999969
110,Arabidopsis thaliana|1.3.1.78|L-arogenate,-2.83387993334375,-4.705239199999999,-2.81637,-1.2331898000000028
111,Arabidopsis thaliana|1.3.1.78|NADP+,-3.4496709475,-5.0857578,-3.483505,-1.4697127000000023
112,"Arabidopsis thaliana|1.3.2.3|L-galactono-1,4-lactone",0.13883846270375,-2.07783,0.12696849999999998,2.2193930999999996
113,Arabidopsis thaliana|1.3.2.3|cytochrome c,-3.541244730125,-6.4393762,-3.515005,-1.0654789000000051
114,Arabidopsis thaliana|1.3.5.2|dihydroorotate,-3.6103000124999998,-5.7871095,-3.53955,-1.8100197
